Recipe Name,BBQ Chicken wrap,,Ingredients,Specific Ingredients,Ingredient Quantity (g/ml),Ingredient Calories,Ingredient Cost (£),Protein (g),Carbohydrates (g),Fat (g),Saturated Fat (g),Polyunsaturated Fat (g),Monounsaturated Fat (g),Trans Fat (g),Fibre (g),Sugar (g),Cholesterol (g),Vitamin A (g),Thiamin (B1) (g),Riboflavin (B2) (g),Niacin (B3) (g),Pantothenic Acid (B5) (g),Pyridoxine (B6) (g),Folate (B9) (g),Cobalamin (B12) (g),Vitamin C (g),Vitamin E (g),Vitamin K (g),Sodium (g),Chloride (g),Potassium (g),Calcium (g),Phosphorus (g),Magnesium (g),Sulphur (g),Iron (g),Zinc (g),Iodine (g),Selenium (g),Copper (g),Manganese (g),Fluoride (g),Chromium (g),Molybdenum (g)
,,,Lettuce,sweet & crunchy shredded iceburg lettuce (ASDA),260,36.4,£1.00,3.12,3.64,1.3,0.26,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Servings,4,,Mayonnaise,Mayocue (Heinz),30,141.9,£0.21,0,4.05,14.19,2.04,0,0,0,0,4.05,0.00507,0,0,0,0,0,0,0,0,0,0,0,0.20289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prep Time,,,Turkey Rashers,Turkey Rashers (Mattessons),200,232,£2.67,46.4,2.4,4,1.6,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Time,,,Wraps,Light lavish bread (Riyas),200,566,£1.20,19.8,114,3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overall Time,,,Chicken Breast,Chicken Breast (ASDA),600,942,£4.25,204,3,12.6,3.6,0,0,0,3.6,3,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Cost (£),£9.40,,Frylight (1 cal Spray),Olive Oil Spray (Frylight),8,41.6,£0.07,0,0.016,4.328,0.584,0.56,3.04,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0.00008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cost per serving (£),£2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calories,489.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein (g),68.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrates (g),31.7765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat (g),9.8545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steps,,,Equipment,Specific Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/reel/CYd4cxFKP79/?igshid=YmMyMTA2M2Y=,,,Frying Pan,Small Frying Pan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Scissors,Scissors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Cut Chicken into small pieces then mix with Cajun, Paprika, Chicken Spice, Salt, Pepper, and 1 Cal Spray.",,,Knife,Large Knife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Bowl,Medium Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Fry mixture in pan for 10 minutes or until golden and cooked through.,,,Spoon,Wooden Spoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Remove chicken and shred with 2 forks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4. Cut Rashers into 1cm2 pieces, scissors are easiest. Then fry in pan until cooked and brown.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5. Mix Chicken, Rashers, Lettuce, and mayocue together in a bowl.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
