Nutrient,Food,Intake Per 100g,Calories Per 100g
Thiamin (B1),Monounsaturated fats,35,140
Thiamin (B1),Polyunsaturated fats,25,120
Thiamin (B1),Saturated fats,30,100
Thiamin (B1),Lard,12,90
Thiamin (B1),Yoghurt,6,60
Thiamin (B1),Houmous,15,70
Thiamin (B1),Butter,8,50
Riboflavin (B2),Monounsaturated fats,35,140
Riboflavin (B2),Polyunsaturated fats,25,120
Riboflavin (B2),Saturated fats,30,100
Riboflavin (B2),Lard,12,90
Riboflavin (B2),Yoghurt,6,60
Riboflavin (B2),Houmous,15,70
Riboflavin (B2),Butter,8,50
Niacin (B3),Monounsaturated fats,35,140
Niacin (B3),Polyunsaturated fats,25,120
Niacin (B3),Saturated fats,30,100
Niacin (B3),Lard,12,90
Niacin (B3),Yoghurt,6,60
Niacin (B3),Houmous,15,70
Niacin (B3),Butter,8,50
Pantothenic acid (B5),Monounsaturated fats,35,140
Pantothenic acid (B5),Polyunsaturated fats,25,120
Pantothenic acid (B5),Saturated fats,30,100
Pantothenic acid (B5),Lard,12,90
Pantothenic acid (B5),Yoghurt,6,60
Pantothenic acid (B5),Houmous,15,70
Pantothenic acid (B5),Butter,8,50
Pyridoxine (B6),Monounsaturated fats,35,140
Pyridoxine (B6),Polyunsaturated fats,25,120
Pyridoxine (B6),Saturated fats,30,100
Pyridoxine (B6),Lard,12,90
Pyridoxine (B6),Yoghurt,6,60
Pyridoxine (B6),Houmous,15,70
Pyridoxine (B6),Butter,8,50
Biotin (B7),Monounsaturated fats,35,140
Biotin (B7),Polyunsaturated fats,25,120
Biotin (B7),Saturated fats,30,100
Biotin (B7),Lard,12,90
Biotin (B7),Yoghurt,6,60
Biotin (B7),Houmous,15,70
Biotin (B7),Butter,8,50
Folate (B9),Monounsaturated fats,35,140
Folate (B9),Polyunsaturated fats,25,120
Folate (B9),Saturated fats,30,100
Folate (B9),Lard,12,90
Folate (B9),Yoghurt,6,60
Folate (B9),Houmous,15,70
Folate (B9),Butter,8,50
Cobalamin (B12),Monounsaturated fats,35,140
Cobalamin (B12),Polyunsaturated fats,25,120
Cobalamin (B12),Saturated fats,30,100
Cobalamin (B12),Lard,12,90
Cobalamin (B12),Yoghurt,6,60
Cobalamin (B12),Houmous,15,70
Cobalamin (B12),Butter,8,50
Vitamin C,Monounsaturated fats,35,140
Vitamin C,Polyunsaturated fats,25,120
Vitamin C,Saturated fats,30,100
Vitamin C,Lard,12,90
Vitamin C,Yoghurt,6,60
Vitamin C,Houmous,15,70
Vitamin C,Butter,8,50
Vitamin A,Monounsaturated fats,35,140
Vitamin A,Polyunsaturated fats,25,120
Vitamin A,Saturated fats,30,100
Vitamin A,Lard,12,90
Vitamin A,Yoghurt,6,60
Vitamin A,Houmous,15,70
Vitamin A,Butter,8,50
Vitamin D,Monounsaturated fats,35,140
Vitamin D,Polyunsaturated fats,25,120
Vitamin D,Saturated fats,30,100
Vitamin D,Lard,12,90
Vitamin D,Yoghurt,6,60
Vitamin D,Houmous,15,70
Vitamin D,Butter,8,50
Vitamin E,Monounsaturated fats,35,140
Vitamin E,Polyunsaturated fats,25,120
Vitamin E,Saturated fats,30,100
Vitamin E,Lard,12,90
Vitamin E,Yoghurt,6,60
Vitamin E,Houmous,15,70
Vitamin E,Butter,8,50
Vitamin K,Monounsaturated fats,35,140
Vitamin K,Polyunsaturated fats,25,120
Vitamin K,Saturated fats,30,100
Vitamin K,Lard,12,90
Vitamin K,Yoghurt,6,60
Vitamin K,Houmous,15,70
Vitamin K,Butter,8,50
